Frequency,Amplitude
0.0000,9.6973
11.7159,6.5369
23.4318,5.2128
35.1477,6.0329
46.8636,4.0665
58.5794,2.5615
70.2953,0.8304
82.0112,0.4792
93.7271,-0.0606
105.4430,-1.8491
117.1589,-1.8827
128.8748,-1.3299
140.5907,-1.5266
152.3066,-1.6435
164.0225,-0.4664
175.7383,0.1303
187.4542,0.4545
199.1701,0.6444
210.8860,0.7159
222.6019,0.3764
234.3178,0.1649
246.0337,-0.0866
257.7496,-0.4877
269.4655,-0.7955
281.1814,-1.4564
292.8972,-2.4396
304.6131,-2.8034
316.3290,-2.4982
328.0449,-2.8950
339.7608,-3.0919
351.4767,-3.9464
363.1926,-4.9139
374.9085,-4.9587
386.6244,-4.8577
398.3402,-4.7256
410.0561,-4.5847
421.7720,-4.4480
433.4879,-4.3184
445.2038,-4.2004
456.9197,-4.0988
468.6356,-4.0189
480.3515,-3.9660
492.0674,-3.9474
503.7833,-3.9785
515.4991,-4.0807
527.2150,-4.2992
538.9309,-4.7305
550.6468,-5.6203
562.3627,-7.6283
574.0786,-10.3880
585.7945,-7.7471
597.5104,-4.9072
609.2263,-3.5359
620.9422,-2.7013
632.6580,-2.3189
644.3739,-2.2621
656.0898,-1.4311
667.8057,-0.4067
679.5216,0.1307
691.2375,0.3961
702.9534,0.1254
714.6693,-0.0507
726.3852,0.0167
738.1010,0.0821
749.8169,0.1112
761.5328,0.0826
773.2487,-0.0373
784.9646,-0.1830
796.6805,-0.2223
808.3964,-0.1983
820.1123,-0.1658
831.8282,-0.1366
843.5441,-0.1110
855.2599,-0.0859
866.9758,-0.0607
878.6917,-0.0297
890.4076,0.0196
902.1235,0.1266
913.8394,0.3046
925.5553,0.4665
937.2712,0.5569
948.9871,0.6028
960.7030,0.6318
972.4188,0.6558
984.1347,0.6797
995.8506,0.7046
1007.5665,0.7294
1019.2824,0.7559
1030.9983,0.7818
1042.7142,0.8070
1054.4301,0.8290
1066.1460,0.8471
1077.8619,0.8588
1089.5777,0.8609
1101.2936,0.8524
1113.0095,0.8305
1124.7254,0.7984
1136.4413,0.7624
1148.1572,0.7326
1159.8731,0.7164
1171.5890,0.7181
1183.3049,0.7370
1195.0207,0.7679
1206.7366,0.8055
1218.4525,0.8467
1230.1684,0.8886
1241.8843,0.9303
1253.6002,0.9711
1265.3161,1.0101
1277.0320,1.0470
1288.7479,1.0828
1300.4638,1.1167
1312.1796,1.1503
1323.8955,1.1818
1335.6114,1.2121
1347.3273,1.2409
1359.0432,1.2687
1370.7591,1.2964
1382.4750,1.3230
1394.1909,1.3490
1405.9068,1.3738
1417.6227,1.3990
1429.3385,1.4242
1441.0544,1.4502
1452.7703,1.4767
1464.4862,1.5054
1476.2021,1.5364
1487.9180,1.5720
1499.6339,1.6133
1511.3498,1.6621
1523.0657,1.7184
1534.7815,1.7852
1546.4974,1.8602
1558.2133,1.9415
1569.9292,2.0264
1581.6451,2.1116
1593.3610,2.1943
1605.0769,2.2759
1616.7928,2.3560
1628.5087,2.4379
1640.2246,2.5257
1651.9404,2.6247
1663.6563,2.7359
1675.3722,2.8511
1687.0881,2.9413
1698.8040,2.9652
1710.5199,2.9167
1722.2358,2.8378
1733.9517,2.7672
