frequency (Hz),magnitude L (dB),phase L (deg),magnitude R (dB),phase R (deg)
0.0000,9.6973,0.0000,9.6973,0.0000
11.7159,6.5369,-21.3477,6.5369,-21.3477
23.4318,5.2128,-19.9406,5.2128,-19.9406
35.1477,6.0329,-15.9682,6.0329,-15.9682
46.8636,4.0665,-36.3143,4.0665,-36.3143
58.5794,2.5615,-37.7336,2.5615,-37.7336
70.2953,0.8304,-33.6173,0.8304,-33.6173
82.0112,0.4792,-30.3222,0.4792,-30.3222
93.7271,-0.0606,-31.1769,-0.0606,-31.1769
105.4430,-1.8491,-24.3972,-1.8491,-24.3972
117.1589,-1.8827,-17.2128,-1.8827,-17.2128
128.8748,-1.3299,-12.4978,-1.3299,-12.4978
140.5907,-1.5266,-13.3741,-1.5266,-13.3741
152.3066,-1.6435,-5.8344,-1.6435,-5.8344
164.0225,-0.4664,-2.2960,-0.4664,-2.2960
175.7383,0.1303,-4.6369,0.1303,-4.6369
187.4542,0.4545,-7.0580,0.4545,-7.0580
199.1701,0.6444,-9.7634,0.6444,-9.7634
210.8860,0.7159,-13.1856,0.7159,-13.1856
222.6019,0.3764,-16.5345,0.3764,-16.5345
234.3178,0.1649,-17.8379,0.1649,-17.8379
246.0337,-0.0866,-19.9408,-0.0866,-19.9408
257.7496,-0.4877,-21.7046,-0.4877,-21.7046
269.4655,-0.7955,-23.0136,-0.7955,-23.0136
281.1814,-1.4564,-25.4037,-1.4564,-25.4037
292.8972,-2.4396,-24.4114,-2.4396,-24.4114
304.6131,-2.8034,-17.4168,-2.8034,-17.4168
316.3290,-2.4982,-19.0849,-2.4982,-19.0849
328.0449,-2.8950,-18.9489,-2.8950,-18.9489
339.7608,-3.0919,-18.8037,-3.0919,-18.8037
351.4767,-3.9464,-21.8321,-3.9464,-21.8321
363.1926,-4.9139,-14.8520,-4.9139,-14.8520
374.9085,-4.9587,-9.1670,-4.9587,-9.1670
386.6244,-4.8577,-5.3357,-4.8577,-5.3357
398.3402,-4.7256,-2.5029,-4.7256,-2.5029
410.0561,-4.5847,-0.2974,-4.5847,-0.2974
421.7720,-4.4480,1.4606,-4.4480,1.4606
433.4879,-4.3184,2.8369,-4.3184,2.8369
445.2038,-4.2004,3.9031,-4.2004,3.9031
456.9197,-4.0988,4.7181,-4.0988,4.7181
468.6356,-4.0189,5.2676,-4.0189,5.2676
480.3515,-3.9660,5.5631,-3.9660,5.5631
492.0674,-3.9474,5.6107,-3.9474,5.6107
503.7833,-3.9785,5.3636,-3.9785,5.3636
515.4991,-4.0807,4.7742,-4.0807,4.7742
527.2150,-4.2992,3.7494,-4.2992,3.7494
538.9309,-4.7305,2.1771,-4.7305,2.1771
550.6468,-5.6203,0.1910,-5.6203,0.1910
562.3627,-7.6283,0.5623,-7.6283,0.5623
574.0786,-10.3880,22.2695,-10.3880,22.2695
